MAY|0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23| LT
   | C|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.45-13:00, anti-moon is towards GP  
   |CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  | C|  
30 |  |  | J|JJ|JJ|  |  |  | J|JJ|  |  |  |  |  |  |  |  |  |  |  |  |  |  |    
   | C|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.40-13:00, anti-moon is towards GP  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
31 |  |  | J|JJ|JJ|  |  |  |JJ|JJ|  |  |  |  |  |  |  |  |  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.35-13:00, anti-moon is towards GP  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
JUN|0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23| Local time
   |  | d|d |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | D|D |  |    Dipole starts crossing galaxy (d). Dipole maximum (D) 
01 |  |  | J|JJ|JJ|  |  |  |JJ|JJ|  |  |  |  |  |  |  |  |  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.35-13:00, anti-moon is towards GP  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
02 |  |  | J|JJ|JJ|  |  |  |JJ|JJ|  |  |  |  | S|S |  |  |  |  |  |  |  |  |    
